rank,repo_name,author,repository,description,language,total_stars,stars_today,repo_url,scraped_at
1,sansan0/TrendRadar,sansan0,TrendRadar,🎯 告别信息过载，AI 助你看懂新闻资讯热点，简单的舆情监控分析 - 多平台热点聚合+基于 MCP 的AI分析工具。监控35个平台（抖音、知乎、B站、华尔街见闻、财联社等），智能筛选+自动推送+AI对话分析（用自然语言深度挖掘新闻：趋势追踪、情感分析、相似检索等13种工具）。支持企业微信/飞书/钉钉/Telegram/邮件/ntfy推送，30秒网页部署，1分钟手机通知，无需编程。支持Docker部署⭐ 让算法为你服务，用AI理解热点,Python,20329,1693,https://github.com/sansan0/TrendRadar,2025-11-19T15:15:39.416123+00:00
2,google/adk-go,google,adk-go,"An open-source, code-first Go toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.",Go,4054,134,https://github.com/google/adk-go,2025-11-19T15:15:39.416123+00:00
3,TapXWorld/ChinaTextbook,TapXWorld,ChinaTextbook,所有小初高、大学PDF教材。,Roff,57581,291,https://github.com/TapXWorld/ChinaTextbook,2025-11-19T15:15:39.416123+00:00
4,yeongpin/cursor-free-vip,yeongpin,cursor-free-vip,[Support 0.49.x]（Reset Cursor AI MachineID & Bypass Higher Token Limit） Cursor Ai ，自动重置机器ID ， 免费升级使用Pro功能: You've reached your trial request limit. / Too many free trial accounts used on this machine. Please upgrade to pro. We have this limit in place to prevent abuse. Please let us know if you believe this is a mistake.,Python,42731,238,https://github.com/yeongpin/cursor-free-vip,2025-11-19T15:15:39.416123+00:00
5,nvm-sh/nvm,nvm-sh,nvm,Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions,Shell,89463,68,https://github.com/nvm-sh/nvm,2025-11-19T15:15:39.416123+00:00
6,traefik/traefik,traefik,traefik,The Cloud Native Application Proxy,Go,58684,117,https://github.com/traefik/traefik,2025-11-19T15:15:39.416123+00:00
7,HKUDS/LightRAG,HKUDS,LightRAG,"[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation""",Python,23733,142,https://github.com/HKUDS/LightRAG,2025-11-19T15:15:39.416123+00:00
8,bobeff/open-source-games,bobeff,open-source-games,A list of open source games.,,6959,313,https://github.com/bobeff/open-source-games,2025-11-19T15:15:39.416123+00:00
9,volcengine/verl,volcengine,verl,verl: Volcano Engine Reinforcement Learning for LLMs,Python,16106,89,https://github.com/volcengine/verl,2025-11-19T15:15:39.416123+00:00
10,GibsonAI/Memori,GibsonAI,Memori,"Open-Source Memory Engine for LLMs, AI Agents & Multi-Agent Systems",Python,5257,338,https://github.com/GibsonAI/Memori,2025-11-19T15:15:39.416123+00:00
11,yangshun/tech-interview-handbook,yangshun,tech-interview-handbook,Curated coding interview preparation materials for busy software engineers,TypeScript,133850,304,https://github.com/yangshun/tech-interview-handbook,2025-11-19T15:15:39.416123+00:00
12,microsoft/call-center-ai,microsoft,call-center-ai,"Send a phone call from AI agent, in an API call. Or, directly call the bot from the configured phone number!",Python,3745,184,https://github.com/microsoft/call-center-ai,2025-11-19T15:15:39.416123+00:00
13,MustardChef/WSABuilds,MustardChef,WSABuilds,Run Windows Subsystem For Android on your Windows 10 and Windows 11 PC using prebuilt binaries with Google Play Store (MindTheGapps) and/or Magisk or KernelSU (root solutions) built in.,Python,13556,72,https://github.com/MustardChef/WSABuilds,2025-11-19T15:15:39.416123+00:00
14,playcanvas/engine,playcanvas,engine,"Powerful web graphics runtime built on WebGL, WebGPU, WebXR and glTF",JavaScript,12347,123,https://github.com/playcanvas/engine,2025-11-19T15:15:39.416123+00:00
15,iptv-org/iptv,iptv-org,iptv,Collection of publicly available IPTV channels from all over the world,TypeScript,102005,483,https://github.com/iptv-org/iptv,2025-11-19T15:15:39.416123+00:00
16,Zie619/n8n-workflows,Zie619,n8n-workflows,all of the workflows of n8n i could find (also from the site itself),Python,41800,272,https://github.com/Zie619/n8n-workflows,2025-11-19T15:15:39.416123+00:00
17,milvus-io/milvus,milvus-io,milvus,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",Go,39523,143,https://github.com/milvus-io/milvus,2025-11-19T15:15:39.416123+00:00
18,wolfpld/tracy,wolfpld,tracy,Frame profiler,C++,13691,69,https://github.com/wolfpld/tracy,2025-11-19T15:15:39.416123+00:00
